idlojista,idsku,lojista,cluster,mundo,idcompra,qtd_sku,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,taxa_aprovacao
30976,8696529,10Estrela,AAA,Móveis,226053730,1,1,1,1,1,268.2600,268.2600,1.00000000
30976,12606027,10Estrela,AAA,Móveis,227227844,2,1,2,2,1,229.2400,229.2400,1.00000000
30976,12719336,10Estrela,AAA,Móveis,225465892,1,1,1,0,0,90.4500,0.0000,0E-8
30976,12735401,10Estrela,AAA,Móveis,226213705,1,1,1,1,1,55.2000,55.2000,1.00000000
30976,13044601,10Estrela,AAA,Móveis,228898673,5,5,5,4,4,1930.5100,1582.2500,0.81960207
30976,13539921,10Estrela,AAA,Móveis,227811000,1,1,1,1,1,238.2000,238.2000,1.00000000
30976,15311053,10Estrela,AAA,Móveis,225482945,3,3,3,2,2,1444.3900,987.3000,0.68354115
30976,1500396807,10Estrela,AAA,Móveis,225779905,1,1,1,1,1,90.3300,90.3300,1.00000000
30976,1500785944,10Estrela,AAA,Móveis,229302843,1,1,1,1,1,322.3000,322.3000,1.00000000
30976,1502808637,10Estrela,AAA,Móveis,226761521,1,1,1,1,1,102.3600,102.3600,1.00000000
30976,1503494505,10Estrela,AAA,Móveis,229260887,2,2,2,1,1,106.6200,54.2900,0.50919152
30976,1504016593,10Estrela,AAA,Móveis,229300097,4,3,4,3,2,781.6500,576.7500,0.73786221
30976,1504545140,10Estrela,AAA,Móveis,227995168,1,1,1,0,0,447.9200,0.0000,0E-8
30976,1765949,10Estrela,AAA,Móveis,228884041,1,1,1,1,1,191.0900,191.0900,1.00000000
30976,2437750,10Estrela,AAA,Móveis,226776160,13,11,13,10,9,3249.3700,2525.5700,0.77724913
30976,10048966,10Estrela,AAA,Móveis,228095026,3,3,3,1,1,2949.2300,959.7000,0.32540697
30976,12035935,10Estrela,AAA,Móveis,227114052,31,31,31,22,22,15827.1400,11217.0800,0.70872438
30976,12699883,10Estrela,AAA,Móveis,226118212,2,2,2,2,2,2124.8600,2124.8600,1.00000000
30976,13116056,10Estrela,AAA,Móveis,226842781,1,1,1,1,1,144.1700,144.1700,1.00000000
30976,14944283,10Estrela,AAA,Móveis,229480908,1,1,1,1,1,216.5700,216.5700,1.00000000
30976,1500557885,10Estrela,AAA,Móveis,227376412,1,1,1,1,1,263.2200,263.2200,1.00000000
30976,1500631926,10Estrela,AAA,Móveis,225916628,1,1,1,1,1,135.9000,135.9000,1.00000000
30976,6943333,10Estrela,AAA,Móveis,227777440,3,3,3,1,1,626.8800,211.0500,0.33666730
30976,9720889,10Estrela,AAA,Móveis,226572603,1,1,1,1,1,270.9000,270.9000,1.00000000
30976,12561889,10Estrela,AAA,Móveis,226675015,1,1,1,0,0,153.5200,0.0000,0E-8
30976,12701857,10Estrela,AAA,Móveis,229596711,1,1,1,0,0,522.5500,0.0000,0E-8
30976,15085942,10Estrela,AAA,Móveis,228634571,1,1,1,0,0,1146.5300,0.0000,0E-8
30976,1500448212,10Estrela,AAA,Móveis,226192856,2,2,2,0,0,1882.0600,0.0000,0E-8
30976,1500505404,10Estrela,AAA,Móveis,227570906,9,9,9,6,6,680.9100,432.6200,0.63535563
30976,1500635156,10Estrela,AAA,Móveis,227187013,2,2,2,2,2,9382.0800,9382.0800,1.00000000
30976,1501505026,10Estrela,AAA,Móveis,227634604,4,2,4,4,2,492.4700,492.4700,1.00000000
10138,1500308357,MegaMamute,AAA,Tecnologia,228941173,4,4,4,3,3,1575.1400,1179.7000,0.74894930
10138,1502859586,MegaMamute,AAA,Tecnologia,228216080,202,200,202,127,125,487182.7900,304658.2900,0.62534699
10138,1504613094,MegaMamute,AAA,Tecnologia,227637608,13,13,13,6,6,9500.1500,4383.2800,0.46139061
30976,5242411,10Estrela,AAA,Móveis,227322042,4,4,4,2,2,1499.5900,751.4600,0.50111030
30976,11660475,10Estrela,AAA,Móveis,228311608,1,1,1,0,0,73.6800,0.0000,0E-8
30976,12411734,10Estrela,AAA,Móveis,228481111,1,1,1,1,1,289.5500,289.5500,1.00000000
30976,13189402,10Estrela,AAA,Móveis,229126788,10,9,10,10,9,2933.8100,2933.8100,1.00000000
30976,13192837,10Estrela,AAA,Móveis,229284243,1,1,1,1,1,256.9000,256.9000,1.00000000
30976,1501263140,10Estrela,AAA,Móveis,228325260,4,4,4,2,2,850.3400,415.1200,0.48818120
