idlojista,DtCriacaoProtocolo,DtFechamentoProtocolo,QtProtocolo,VrTotalProtocolo,VrTotalProtocoloAbsoluto,QtProtocoloAberto,QtProtocoloFechado,QtProtocoloSemResposta24Horas,QtProtocoloSemResposta48Horas,QtProtocoloReclamacao,QtProtocoloAbertoReclamacao,VrTotalProtocoloReclamacao,VrTotalProtocoloReclamacaoAbsoluto,QtTotalRecontato,QtTotalCanalEspecial,QtTotalFilaMarketPlace,QtTotalFilaLojista,TxReclamacao,DhAtualizacao,year_partition,month_partition,day_partition
30976,2020-09-05,2020-09-20,1,160.78,160.78,0,1,0,0,1,0,160.78,160.78,2,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,09,05
30976,2020-08-31,2020-09-23,3,1188.83,2280.97,0,3,0,0,0,0,0,0,5,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,08,31
30976,2020-08-14,2020-09-10,1,-454.13,454.13,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-09-29,2020-09-29,75,22934.64,28869.62,0,75,0,0,18,0,6290.28,7212.34,1,1,1,0,0.24,2020-10-05T17:00:34.520+0000,2020,09,29
30976,2020-06-24,2020-09-13,1,-430.4,430.4,0,1,0,0,1,0,-430.4,430.4,1,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,06,24
30976,2020-07-28,2020-09-16,1,100.56,100.56,0,1,0,0,1,0,100.56,100.56,0,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,28
30976,2020-09-02,2020-09-22,2,37.26,711.68,0,2,0,0,1,0,-337.21,337.21,8,0,1,0,0.5,2020-10-05T17:00:34.520+0000,2020,09,02
30976,2020-07-03,2020-09-17,1,170.19,170.19,0,1,0,0,1,0,170.19,170.19,7,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,07,03
30976,2020-09-11,2020-09-15,1,792.35,792.35,0,1,0,0,1,0,792.35,792.35,3,0,0,1,1,2020-10-05T17:00:34.520+0000,2020,09,11
30976,2020-09-09,2020-09-23,7,319.42,2780.96,0,7,0,0,7,0,319.42,2780.96,3,0,5,0,1,2020-10-05T17:00:34.520+0000,2020,09,09
30976,2020-09-03,2020-09-22,3,417.34,1182.44,0,3,0,0,2,0,-382.55,382.55,9,0,1,0,0.6667,2020-10-05T17:00:34.520+0000,2020,09,03
30976,2020-08-13,null,1,60.72,60.72,1,0,1,1,0,0,0,0,5,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,13
30976,2020-07-27,2020-09-01,1,-851.14,851.14,0,1,0,0,1,0,-851.14,851.14,4,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,27
30976,2020-09-21,2020-09-30,12,4452.41,4843.73,0,12,0,0,8,0,1958.71,2350.03,5,0,12,0,0.6667,2020-10-05T17:00:34.520+0000,2020,09,21
30976,2020-09-07,2020-09-22,2,546.43,546.43,0,2,0,0,1,0,233.24,233.24,3,0,1,1,0.5,2020-10-05T17:00:34.520+0000,2020,09,07
30976,2020-08-19,2020-09-17,1,-120.14,120.14,0,1,0,0,1,0,-120.14,120.14,2,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,19
30976,2020-08-31,2020-09-13,2,-44.94,151.5,0,2,0,0,2,0,-44.94,151.5,0,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,31
30976,2020-08-13,2020-09-18,2,-1094.06,1094.06,0,2,0,0,0,0,0,0,7,1,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,13
30976,2020-08-21,2020-09-11,3,1127.48,1306.22,0,3,0,0,1,0,938.94,938.94,7,0,2,0,0.3333,2020-10-05T17:00:34.520+0000,2020,08,21
