idlojista,DtPedidoVenda,dataprometida,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_pedidos_aprovados,qtd_itens_aprovados,valorcolocado,valoraprovado,status_lojista,qtd_pedidos_atrasados_envio,valor_pedidos_atrasados_envio,qtd_pedidos_atraso_entrega,valor_pedidos_atraso_entrega,qtd_itens_no_prazo,qtd_itens_risco_atraso,qtd_itens_altorisco_atraso,qtd_itens_enviados,qtd_itens_entregues,qtd_itens_cancelados,qtd_itens_devolvidos,qtd_sku_distinto,qtd_sku,taxa_aprovacao
30976,2020-08-13,2020-09-28,10Estrela,AAA,Móveis,3,3,3,3,352.7400,352.7400,ativo,0,0.0000,0,0.0000,0,1,0,1,2,0,0,3,3,1.00000000
30976,2020-08-25,2020-09-11,10Estrela,AAA,Móveis,9,9,9,9,3936.4100,3936.4100,ativo,0,0.0000,0,0.0000,0,0,5,3,4,0,0,9,9,1.00000000
30976,2020-08-26,2020-09-22,10Estrela,AAA,Móveis,5,5,2,2,1945.8500,1294.0500,ativo,0,0.0000,0,0.0000,0,2,0,2,0,0,0,5,5,0.66503071
30976,2020-08-28,2020-09-11,10Estrela,AAA,Móveis,16,17,14,15,5599.9500,4899.1900,ativo,0,0.0000,0,0.0000,0,0,4,3,11,0,0,14,17,0.87486317
10138,2020-08-12,2020-08-24,MegaMamute,AAA,Tecnologia,141,145,85,87,187208.2100,111329.0600,ativo,0,0.0000,6,8383.1200,0,0,0,3,81,3,0,50,145,0.59468044
10138,2020-08-28,2020-09-17,MegaMamute,AAA,Tecnologia,5,5,2,2,9147.2800,5047.4400,ativo,0,0.0000,0,0.0000,0,0,0,0,2,0,0,5,5,0.55179682
30976,2020-08-05,2020-09-01,10Estrela,AAA,Móveis,12,12,9,9,7525.0300,4560.6200,ativo,0,0.0000,0,0.0000,0,0,0,0,9,0,0,10,12,0.60606004
30976,2020-08-08,2020-09-02,10Estrela,AAA,Móveis,15,15,13,13,8578.3500,7305.3900,ativo,2,972.8500,4,2839.5200,0,0,0,1,9,1,0,11,15,0.85160783
30976,2020-08-12,2020-08-27,10Estrela,AAA,Móveis,30,30,24,24,11809.1300,9289.4900,ativo,0,0.0000,3,724.9900,0,0,0,1,21,2,0,25,30,0.78663627
10138,2020-08-14,2020-08-31,MegaMamute,AAA,Tecnologia,22,22,13,13,29761.1100,14140.1100,ativo,0,0.0000,0,0.0000,0,0,0,0,12,1,0,13,22,0.47512038
10138,2020-08-21,2020-09-04,MegaMamute,AAA,Tecnologia,28,28,18,18,40693.9000,25720.7800,ativo,0,0.0000,0,0.0000,0,0,0,0,18,0,0,16,28,0.63205493
30976,2020-08-08,2020-09-11,10Estrela,AAA,Móveis,3,3,2,2,1683.4600,1414.7300,ativo,0,0.0000,0,0.0000,0,0,0,0,2,0,0,3,3,0.84037043
30976,2020-08-13,2020-11-20,10Estrela,AAA,Móveis,1,1,1,1,489.8600,489.8600,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,1,1,1.00000000
30976,2020-08-17,2020-10-14,10Estrela,AAA,Móveis,1,1,0,0,468.8000,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-27,2020-10-23,10Estrela,AAA,Móveis,1,1,0,0,181.2700,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-28,2020-09-02,10Estrela,AAA,Móveis,1,1,1,1,540.5300,540.5300,ativo,0,0.0000,1,540.5300,0,0,0,0,1,0,0,1,1,1.00000000
10138,2020-08-05,2020-08-28,MegaMamute,AAA,Tecnologia,3,3,2,2,2940.4100,1755.8000,ativo,0,0.0000,0,0.0000,0,0,0,0,2,0,0,3,3,0.59712761
10138,2020-08-16,2020-08-25,MegaMamute,AAA,Tecnologia,154,158,83,84,185455.7300,96144.7400,ativo,0,0.0000,21,22536.3300,0,0,0,4,75,5,0,40,158,0.51842421
10138,2020-08-16,2020-09-10,MegaMamute,AAA,Tecnologia,1,1,1,1,1703.3500,1703.3500,ativo,0,0.0000,0,0.0000,0,0,1,1,0,0,0,1,1,1.00000000
10138,2020-08-23,2020-10-01,MegaMamute,AAA,Tecnologia,1,1,0,0,279.6400,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
10138,2020-08-29,2020-09-14,MegaMamute,AAA,Tecnologia,20,20,11,11,40770.5800,21140.6200,ativo,0,0.0000,0,0.0000,0,6,0,6,5,0,0,11,20,0.51852635
30976,2020-08-06,2020-10-14,10Estrela,AAA,Móveis,1,1,1,1,450.3900,450.3900,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
