ID Loja;Lojista;Cluster;Mundo;Responsável
11064;MercuryShop;A;Cauda Longa;Suporte
11025;Kin Bike;A;Cauda Longa;Ana Pontes
11244;Capital do Enxoval;A;Cauda Longa;Ana Pontes
10729;Shock Games;A;Tecnologia;Ana pontes
11293;Cprz Tecnologia;A;Cauda Longa;Suporte
11044;ShopB;A;Tecnologia;Ana pontes
10822;BoaCoisa;A;Cauda Longa;Ana Pontes
10047;CELSITE;A;Tecnologia;Ana pontes
10463;Virtal;A;Cauda Longa;Suporte
11308;Segurança Mais;A;Cauda Longa;Suporte
11321;E-Maxma;A;Cauda Longa;Suporte
10506;Gabriella Calçados;A;Cauda Longa;Suporte
10411;ElanTrade;AAA;Cauda Longa;Ana Modesto 
10451;Loja Milenarte;A;Móveis;Ana pontes
10501;Print Loja;A;Tecnologia;Ana pontes
11163;CentralFit;A;Cauda Longa;Ana Pontes
10467;Big Informática;A;Cauda Longa;Suporte
11121;WebContinental;AAA;Cauda Longa;Leonardo
10838;Punkt;A;Tecnologia;Ana pontes
11126;SVC Laser;A;Tecnologia;Ana pontes
10815;Cigame;A;Móveis;Suporte
11284;Mil Special Shop;A;Linha Branca;Suporte
11236;Músculos na Web;A;Cauda Longa;Suporte
10051;BABYOU;A;Cauda Longa;Suporte
10857;Café Fácil;A;Linha Branca;Ana pontes
10861;Biobike;A;Cauda Longa;Ana Pontes
10517;Habiltec;A;Tecnologia;Ana pontes
10028;EXTRADELIVERY;A;Cauda Longa;Suporte
10151;Lojas Clima;A;Cauda Longa;Ana Pontes
12299;Comprebel;AAA;Tecnologia;Leonardo Karlik
13793;Premium Store;A;Tecnologia;Suporte
13835;Agrotama;AAA;Cauda Longa;Patricia
13948;Tamarindos;AAA;Cauda Longa;Ana Pontes
14088;Obino;A;Móveis;Ana pontes
13791;ShowCel;A;Cauda Longa;Suporte
13975;Inova Móveis;A;Móveis;Ana pontes
14098;NH Som;A;Cauda Longa;Ana Pontes
12416;Depósito de Meias São Jorge;AAA;Cauda Longa;Ana pontes
14195;Games Mix;AAA;Tecnologia;Erika Leme
14074;Tudo Pra Foto;A;Tecnologia;Ana pontes
12076;GIFTCENTER;AA;Cauda Longa;Ana Pontes
11325;Netelectro;A;Cauda Longa;Ana Pontes
14015;MHS Shop;A;Cauda Longa;Suporte
10390;Titanis;A;Móveis;Suporte
11042;França Games;A;Tecnologia;Ana Pontes
11922;VarieShop;A;Tecnologia;Ana Pontes
10913;BestGamers;AA;Cauda Longa;Decom
11301;Muito Balato;A;Cauda Longa;Ana Pontes
10767;AIUP;A;Móveis;Ana pontes
12023;MM PARTS;A;Cauda Longa;Ana Pontes
11693;AGROSHOP;A;Cauda Longa;Suporte
11043;Tuning Parts;A;Cauda Longa;Ana Pontes
13616;Lyder Comercial;A;Linha Branca;Ana pontes
11810;Ferramix;A;Cauda Longa;Ana Pontes
11008;Up2Games;A;Cauda Longa;Ana Pontes 
13684;Shopnextrade;A;Cauda Longa;Suporte
13643;Mix Shop;A;Cauda Longa;Suporte
10031;MUSICALBRASIL;A;Cauda Longa;Suporte
13686;E-Cadeiras;AAA;Móveis;Ana pontes
12038;Itotal;AA;Linha Branca;Leonardo
11494;Estevam Eletro Magazine;A;Cauda Longa;Ana Pontes
12017;BIKE AND FITNESS;A;Cauda Longa;Suporte
11981;Dedobrinquedo;A;Cauda Longa;Ana Pontes
13713;Aquarius Store;AA;Linha Branca;Ana pontes
13787;Rythmoon;A;Cauda Longa;Ana Pontes
11734;Shop Noroeste;A;Cauda Longa;Ana Pontes
10799;Emania;AAA;Tecnologia;Ana pontes
12305;MULTIVISI;AA;Cauda Longa;Ana Pontes
13947;Acessórios A & Multimarcas;A;Cauda Longa;Suporte
10066;CASACLIMA;A;Linha Branca;Ana pontes
13590;Abelha Eletromóveis;A;Móveis;Ana pontes
10458;Famatecnoshop;A;Cauda Longa;Ana Pontes
11649;Super Saudável;AAA;Cauda Longa;Priscila
12306;Shop Internacional;A;Tecnologia;Ana pontes
10859;Loja Positano;A;Cauda Longa;Ana Pontes
10176;Valejet;A;Tecnologia;Ana pontes
10932;Disk Digitais;A;Tecnologia;Ana pontes
11446;Mercado das Ferragens;A;Cauda Longa;Suporte
11823;KOALAELETROSHOP;A;Cauda Longa;Ana Pontes
12000;Eletrogeno;A;Cauda Longa;Suporte
10860;E-cozinhas;A;Cauda Longa;Suporte
13615;Atacadista Online;A;Móveis;Suporte
11786;RAFAELETRO;A;Linha Branca;Ana pontes
11672;NETALARMES;A;Cauda Longa;Ana Pontes
11311;YouWin;A;Cauda Longa;Suporte
11817;Mais Vantagens;A;Cauda Longa;Ana Pontes
10145;Lojatual E-Commerce;A;Cauda Longa;Ana Pontes
11869;INOVE CERTO;A;Cauda Longa;Suporte
10764;Cirilo Cabos;A;Tecnologia;Ana pontes
